ProblemNo,Connection,Cost
0,19269 : 2 -> 21 ; 14266 : 17 -> 22 ; 14266 : 19 -> 20 ; 14308 : 1 -> 2 ; 15043 : 2 -> 21 ; 14307 : 36 -> 37 ; 19269 : 23 -> 22 ; 14308 : 6 -> 23 ; 14308 : 8 -> 9 ; 23010 : 15 -> 16,24
1,15111 : 11 -> 13 ; 14203 : 1 -> 14 ; 23010 : 38 -> 43,7
2,14266 : 8 -> 16 ; 23010 : 6 -> 7 ; 14266 : 17 -> 18 ; 19269 : 21 -> 22 ; 14266 : 19 -> 20 ; 14308 : 1 -> 2 ; 15043 : 2 -> 21 ; 14307 : 36 -> 37 ; 19269 : 23 -> 24 ; 14204 : 1 -> 2 ; 14307 : 30 -> 31 ; 14308 : 11 -> 25 ; 23010 : 19 -> 25,17
3,14307 : 3 -> 4 ; 14308 : 38 -> 5 ; 54253 : 5 -> 7 ; 14203 : 7 -> 8 ; 14204 : 10 -> 9 ; 14307 : 10 -> 11 ; 14308 : 31 -> 10 ; 14307 : 12 -> 11 ; 14307 : 14 -> 13 ; 14307 : 17 -> 14 ; 14307 : 20 -> 21 ; 14308 : 21 -> 15 ; 14307 : 22 -> 16 ; 14307 : 24 -> 27,15
4,14313 : 4 -> 11,7
5,14266 : 29 -> 31 ; 14307 : 31 -> 32 ; 14204 : 1 -> 2 ; 14308 : 11 -> 12 ; 19269 : 24 -> 25 ; 23010 : 19 -> 31,9
6,14203 : 2 -> 3 ; 14204 : 15 -> 16 ; 14266 : 47 -> 5 ; 14266 : 44 -> 8 ; 14307 : 7 -> 8 ; 14308 : 34 -> 9 ; 14307 : 10 -> 10 ; 14307 : 12 -> 11 ; 14307 : 14 -> 15 ; 54253 : 17 -> 18 ; 14203 : 12 -> 13 ; 14307 : 17 -> 14 ; 14307 : 20 -> 21 ; 14308 : 21 -> 15 ; 14307 : 22 -> 16 ; 14307 : 24 -> 25 ; 14307 : 30 -> 31 ; 14308 : 11 -> 12 ; 19269 : 24 -> 25 ; 23010 : 19 -> 32 ; 14266 : 25 -> 33 ; 23010 : 17 -> 18 ; 14266 : 22 -> 34 ; 23010 : 15 -> 40 ; 15043 : 2 -> 10,32
7,19269 : 28 -> 32,4
8,14266 : 19 -> 20 ; 14308 : 1 -> 2 ; 15043 : 2 -> 21 ; 14307 : 36 -> 37 ; 19269 : 23 -> 24 ; 14204 : 1 -> 2 ; 14307 : 30 -> 31 ; 14308 : 11 -> 25 ; 23010 : 19 -> 3 ; 14307 : 24 -> 25 ; 14308 : 17 -> 4 ; 14308 : 19 -> 5 ; 14266 : 34 -> 35 ; 14308 : 21 -> 6 ; 14266 : 36 -> 37 ; 14204 : 7 -> 8 ; 14307 : 14 -> 15 ; 14308 : 27 -> 9 ; 14308 : 29 -> 10 ; 14266 : 39 -> 40 ; 14308 : 31 -> 11 ; 14308 : 34 -> 12,12
9,15043 : 4 -> 6,2
