pb_no,no_of_trains,no_of_stations,file_name,cost_function,computation_time,explored_neighbors
0,1,2,mini-schedule,stops,0.0,1
1,4,25,mini-schedule,stops,1.027822494506836,62
2,1,5,mini-schedule,stops,0.9660720825195312,4
3,7,57,mini-schedule,stops,3.023386001586914,126
4,1,8,mini-schedule,stops,0.0,7
5,1,13,mini-schedule,stops,0.0,12
6,6,19,mini-schedule,stops,1.9643306732177734,75
7,4,32,mini-schedule,stops,1.9941329956054688,97
8,4,30,mini-schedule,stops,0.9975433349609375,60
9,3,38,mini-schedule,stops,2.9916763305664062,119
10,8,17,schedule,stops,278.256893157959,3345
11,10,24,schedule,stops,333.1422805786133,3778
12,10,21,schedule,stops,341.86744689941406,3730
13,9,19,schedule,stops,293.38955879211426,3661
14,7,14,schedule,stops,126.83582305908203,1729
15,8,18,schedule,stops,308.62879753112793,3986
16,7,15,schedule,stops,244.71759796142578,3170
17,7,15,schedule,stops,142.99774169921875,2017
18,6,13,schedule,stops,215.9419059753418,3244
19,10,23,schedule,stops,351.75538063049316,4155
20,2,7,mini-schedule,distance,0.0,11
21,5,27,mini-schedule,distance,0.9980201721191406,33
22,15,33,mini-schedule,distance,4.024505615234375,75
23,1,3,mini-schedule,distance,0.0,2
24,1,10,mini-schedule,distance,0.0,9
25,10,36,mini-schedule,distance,2.0313262939453125,65
26,7,39,mini-schedule,distance,6.058692932128906,127
27,19,47,mini-schedule,distance,4.1046142578125,102
28,1,2,mini-schedule,distance,0.0,1
29,1,17,mini-schedule,distance,0.0,16
30,39,90,schedule,distance,1011.1062526702881,3676
31,39,82,schedule,distance,633.0695152282715,3304
32,43,94,schedule,distance,422.6853847503662,2217
33,44,96,schedule,distance,1317.9731369018555,5134
34,56,125,schedule,distance,863.2690906524658,4588
35,44,90,schedule,distance,760.0862979888916,4627
36,76,169,schedule,distance,1286.4744663238525,5917
37,46,112,schedule,distance,946.3534355163574,4925
38,31,63,schedule,distance,259.35935974121094,1891
39,33,70,schedule,distance,215.21782875061035,1606
40,3,19,mini-schedule,price,11.061668395996094,117
41,2,31,mini-schedule,price,8.05211067199707,175
42,1,2,mini-schedule,price,0.0,1
43,1,7,mini-schedule,price,0.0,6
44,1,3,mini-schedule,price,0.0,2
45,1,3,mini-schedule,price,0.0,2
46,1,28,mini-schedule,price,0.9944438934326172,34
47,2,70,mini-schedule,price,11.635541915893555,205
48,1,31,mini-schedule,price,2.035856246948242,62
49,2,47,mini-schedule,price,15.032768249511719,214
50,4,29,schedule,price,87961.03739738464,192394
51,2,26,schedule,price,20116.32513999939,76047
52,3,20,schedule,price,14406.931400299072,78018
53,3,50,schedule,price,7335.616111755371,43361
54,3,26,schedule,price,5204.423427581787,34934
55,3,44,schedule,price,13145.094633102417,58324
56,3,41,schedule,price,41825.51574707031,132861
57,4,60,schedule,price,99601.74036026001,219316
58,3,94,schedule,price,34321.255922317505,102982
59,4,39,schedule,price,27780.782461166382,114278
60,2,14,mini-schedule,arrivaltime,6.953239440917969,82
61,2,26,mini-schedule,arrivaltime,12.964963912963867,169
62,1,8,mini-schedule,arrivaltime,0.9980201721191406,7
63,1,2,mini-schedule,arrivaltime,0.0,1
64,3,33,mini-schedule,arrivaltime,11.046171188354492,138
65,1,4,mini-schedule,arrivaltime,0.0,3
66,1,3,mini-schedule,arrivaltime,0.0,2
67,1,9,mini-schedule,arrivaltime,0.0,8
68,1,29,mini-schedule,arrivaltime,6.059885025024414,60
69,1,19,mini-schedule,arrivaltime,7.057666778564453,75
70,11,35,schedule,arrivaltime,218178.8101196289,427723
71,8,57,schedule,arrivaltime,9477.733373641968,21953
72,7,30,schedule,arrivaltime,14411.03982925415,30946
73,10,36,schedule,arrivaltime,52999.92918968201,106593
74,6,56,schedule,arrivaltime,11533.27465057373,23474
75,9,33,schedule,arrivaltime,55781.96954727173,102898
76,9,54,schedule,arrivaltime,15133.721351623535,28424
77,10,50,schedule,arrivaltime,3959.707260131836,8336
78,7,32,schedule,arrivaltime,10680.895328521729,22036
79,8,59,schedule,arrivaltime,23231.63151741028,39218
